Union Council,Name of Union Council,Chairman,Vice-Chairman
Union Council No 166,Shahnawaz Park,,
Union Council No 167,Bilal Park,,
Union Council No 168,Gawalmandi,,
Union Council No 169,Nisbat Road Gawalmandi,,
Union Council No 170,Shah Abul Muaali,,
Union Council No 171,Qila Gujjar Singh,,
Union Council No 172,Bibi Pak Daman,,
Union Council No 173,Habibullah Road,,
Union Council No 174,Lakho Dair,,
Union Council No 175,Banda Gujjran,,
Union Council No 176,Awan Dhainwala,,
Union Council No 177,Attokay Awan,,
Union Council No 178,Manawan Rampur Jageer,,
Union Council No 179,Bhasmain,,
Union Council No 180,Nathoki Minhala Kallan,,
Union Council No 181,Wagah,,
Union Council No 182,Dograiy Kallan,,
Union Council No 183,Muza Jallo Khera,,
Union Council No 184,Daraipura Mughalpura,,
Union Council No 185,Basti Saidan Shah,,
Union Council No 186,Madni Mahallah Mustafabad,,
Union Council No 187,Mustafaabad,,
Union Council No 188,Mian Mir,,
Union Council No 189,Barki,,
Union Council No 190,Badyara,,
Union Council No 191,Ghond,,
Union Council No 192,Terra,,
Union Council No 193,Bhangali,,
Union Council No 194,Ludhar,,
Union Council No 195,Hear,,
Union Council No 196,Jalman,,
Union Council No 197,Dhalway,,
Union Council No 198,Shadman Ka Loni,,
Union Council No 199,Shah Jamal,,
Union Council No 200,Canal Park,,
Union Council No 201,Ghous Azan Colony Gulberg 2,,
Union Council No 202,Gulberg 3,,
Union Council No 203,FC College / Kachi Aabadu,,
Union Council No 204,Model Colony Gulberg,,
Union Council No 205,Makkah Colony,,
Union Council No 206,Gopal Nagar,,
Union Council No 207,Model Town,,
Union Council No 208,New Garden Town,,
Union Council No 209,Model Town Extension,,
Union Council No 210,Faisal Town,,
Union Council No 211,Kotha Pind / Faisal Town,,
Union Council No 212,Huma Block / Allama Iqbal Town,,
Union Council No 213,Kashmir Block,,
Union Council No 214,Raza Block,,
Union Council No 215,Karim Block,,
Union Council No 216,Muslim Town,,
Union Council No 217,Clifton Colony Shah Kamal,,
Union Council No 218,Jahanzaib Block,,
Union Council No 219,Neelum Block,,
Union Council No 220,Wafaqi Colony,,
Union Council No 221,E Block Johar Town,,
Union Council No 222,Jodhapur,,
Union Council No 223,Q Block Model Town,,
Union Council No 224,Pindi Rajpotan,,
Union Council No 225,Liaqatabad Kot Lakhpat,,
Union Council No 226,Model Town R Block Bahar Colony,,
Union Council No 227,Bostan Colony,,
Union Council No 228,Chungi Amar Sadhu,,
Union Council No 229,Qauid e Millat Colony,,
Union Council No 230,Sittara Colony,,
Union Council No 231,Pak Colony,,
Union Council No 232,Township Sector B-1,,
Union Council No 233,Sector 2 Township,,
Union Council No 234,Sector 1 Township,,
Union Council No 235,Township Sector B-2,,
Union Council No 236,Sector 11 Green Town C,,
Union Council No 237,Sector 11 D Green Town,,
Union Council No 238,Marryum Colony,,
Union Council No 239,Kair Killan Green Town,,
Union Council No 240,Bagrian Dharam Chand,,
Union Council No 241,Chandraiy Karim Park,,
Union Council No 242,Attari Saroba,,
Union Council No 243,Nishtar Colony,,
Union Council No 244,Gajju Mattah,,
Union Council No 245,Dillo Kallan,,
Union Council No 246,Yuhanabad,,
Union Council No 247,Kahana Kohana,,
Union Council No 248,Shazwah,,
Union Council No 249,Kamahan,,
Union Council No 250,Thapanjo,,
Union Council No 251,Baloki,,
Union Council No 252,Pandoki,,
Union Council No 253,Saraich,,
Union Council No 254,Viewkhurd Kallan,,
Union Council No 255,Sattao Katlah,,
Union Council No 256,Ali Razaabad,,
Union Council No 257,Wapda Town,,
Union Council No 258,Chuhang Panj Garian,,
Union Council No 259,Izmir Colony,,
Union Council No 260,Marakah,,
Union Council No 261,Mohalowal,,
Union Council No 262,Shamkay Bhattian,,
Union Council No 263,Manga,,
Union Council No 264,Sultankay,,
Union Council No 265,Manga Lotar,,
Union Council No 266,Tallab Saraiy,,
Union Council No 267,Mank,,
Union Council No 268,Jodhu Dhair,,
Union Council No 269,Bhoptian,,
Union Council No 270,Araiyan,,
Union Council No 271,Jia Bagga,,
Union Council No 272,Raiwind Rural,,
Union Council No 273,Raiwind Urban,,
Union Council No 274,Bablian Otar,,
